                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    5247131 |    5209575 |    5203571 |    5189919 |    5243519 |    5193183 |    5206952 |    5208889 |    5234054 |    5190225 |    5203824 |    5213140 |    5215588 |    5209117 |    5203534 |    5213517
    miss rate                        |     17.59% |     17.51% |     17.60% |     17.46% |     17.58% |     17.47% |     17.61% |     17.50% |     17.45% |     17.46% |     17.60% |     17.61% |     17.41% |     17.51% |     17.60% |     17.62%
    mpki                             |      63.93 |      64.03 |      64.06 |      63.84 |      63.89 |      63.87 |      64.10 |      64.01 |      63.72 |      63.84 |      64.06 |      64.12 |      63.54 |      64.02 |      64.06 |      64.13
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5914717 |    5877852 |    5822066 |    5813634 |    5870564 |    5814729 |    5854592 |    5822291 |    5908534 |    5813752 |    5822759 |    5872862 |    5846433 |    5877005 |    5821705 |    5873399
    num cache misses                 |    5217025 |    5177818 |    5124966 |    5112321 |    5166050 |    5114124 |    5167527 |    5114119 |    5207387 |    5112506 |    5125378 |    5176505 |    5143702 |    5177561 |    5124546 |    5176539
    miss rate                        |     88.20% |     88.09% |     88.03% |     87.94% |     88.00% |     87.95% |     88.26% |     87.84% |     88.13% |     87.94% |     88.02% |     88.14% |     87.98% |     88.10% |     88.02% |     88.14%
    mpki                             |      63.56 |      63.64 |      63.09 |      62.88 |      62.94 |      62.90 |      63.62 |      62.85 |      63.39 |      62.88 |      63.09 |      63.67 |      62.66 |      63.64 |      63.09 |      63.67
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    7062172 |    7047193 |    7049996 |    7035963 |    7026106 |    6978221 |    7023112 |    7029293 |    7003734 |    7023598 |    7020773 |    7022883 |    7016477 |    7062896 |    7116018 |    7069808
  average dram access latency (ns)   |      94.62 |      87.62 |      82.76 |      84.81 |      83.18 |      78.91 |      79.95 |      85.01 |      77.86 |      76.70 |      76.93 |      86.84 |      75.14 |     126.22 |      93.30 |      81.58
  average dram queueing delay        |      71.19 |      64.19 |      59.33 |      61.38 |      59.75 |      55.48 |      56.52 |      61.58 |      54.43 |      53.27 |      53.50 |      63.41 |      51.71 |     102.79 |      69.87 |      58.15
  average dram bandwidth utilization |     61.00% |     61.00% |     61.00% |     60.00% |     60.00% |     60.00% |     60.00% |     60.00% |     60.00% |     60.00% |     60.00% |     60.00% |     60.00% |     61.00% |     61.00% |     61.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    3643805 |    3666129 |    3598696 |    3668797 |    3632427 |    3676477 |    3604731 |    3664299 |    3695762 |    3665945 |    3603095 |    3600517 |    3681358 |    3676085 |    3602863 |    3606099
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      83582 |      45769 |     104610 |      28677 |      89067 |      23576 |     106129 |      44095 |      24010 |      31639 |     100231 |     109208 |      24971 |      35584 |      99924 |     103513
