                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    2761075 |    2750289 |    2742110 |    2744357 |    2757761 |    2752986 |    2742184 |    2744383 |    2757229 |    2744445 |    2742003 |    2753486 |    2750923 |    2753545 |    2741325 |    2751327
    miss rate                        |      8.99% |      9.01% |      9.06% |      9.05% |      8.99% |      9.00% |      9.06% |      9.05% |      8.99% |      9.05% |      9.06% |      9.00% |      9.03% |      9.00% |      9.06% |      9.01%
    mpki                             |      34.79 |      34.89 |      34.96 |      34.95 |      34.79 |      34.88 |      34.96 |      34.95 |      34.79 |      34.95 |      34.96 |      34.89 |      34.84 |      34.89 |      34.96 |      34.90
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3341712 |    3322820 |    3317412 |    3319537 |    3336757 |    3326560 |    3317022 |    3319929 |    3336510 |    3319296 |    3317216 |    3327149 |    3330993 |    3327831 |    3314956 |    3326871
    num cache misses                 |    2573973 |    2561506 |    2554268 |    2553896 |    2571703 |    2563945 |    2553859 |    2554143 |    2571185 |    2553652 |    2553782 |    2564633 |    2565207 |    2565096 |    2555705 |    2563358
    miss rate                        |     77.03% |     77.09% |     77.00% |     76.94% |     77.07% |     77.07% |     76.99% |     76.93% |     77.06% |     76.93% |     76.99% |     77.08% |     77.01% |     77.08% |     77.10% |     77.05%
    mpki                             |      32.43 |      32.50 |      32.57 |      32.52 |      32.44 |      32.49 |      32.56 |      32.53 |      32.44 |      32.52 |      32.56 |      32.49 |      32.49 |      32.50 |      32.59 |      32.52
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    3649902 |    3457791 |    3465544 |    3452270 |    3461939 |    3485810 |    3494337 |    3498006 |    3497427 |    3483160 |    3489585 |    3488673 |    3485015 |    3493458 |    3519872 |    3530019
  average dram access latency (ns)   |      83.59 |      48.43 |      48.69 |      49.35 |      48.91 |      48.55 |      49.81 |      50.88 |      49.88 |      51.33 |      50.60 |      48.47 |      48.40 |      53.69 |      51.71 |      53.07
  average dram queueing delay        |      60.16 |      25.00 |      25.26 |      25.92 |      25.48 |      25.12 |      26.38 |      27.45 |      26.45 |      27.90 |      27.17 |      25.04 |      24.97 |      30.26 |      28.28 |      29.64
  average dram bandwidth utilization |     52.00% |     49.00% |     50.00% |     49.00% |     50.00% |     50.00% |     50.00% |     50.00% |     50.00% |     50.00% |     50.00% |     50.00% |     50.00% |     50.00% |     50.00% |     51.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1969734 |    1973745 |    1966920 |    1956633 |    1975460 |    1966233 |    1969329 |    1956606 |    1976310 |    1958451 |    1967886 |    1964477 |    1965115 |    1965240 |    1972365 |    1970336
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      45909 |      36121 |      38767 |      47130 |      38702 |      45437 |      36215 |      47297 |      37534 |      45072 |      37435 |      47995 |      44713 |      47170 |      35540 |      39382
