                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    num cache misses                 |       32831 |      253407 |      254200 |      251630 |       32673 |      254111 |      253193 |      252656 |       32894 |      253416 |      254199 |      251619 |       33021 |      253407 |      254200 |      251630
    miss rate                        |       0.04% |       0.33% |       0.33% |       0.33% |       0.04% |       0.33% |       0.33% |       0.33% |       0.04% |       0.33% |       0.33% |       0.33% |       0.05% |       0.33% |       0.33% |       0.33%
    mpki                             |        0.16 |        1.13 |        1.13 |        1.12 |        0.16 |        1.13 |        1.13 |        1.12 |        0.16 |        1.13 |        1.13 |        1.12 |        0.16 |        1.13 |        1.13 |        1.12
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    15436445 |     1899370 |     1899614 |     1898037 |    15436314 |     1899765 |     1899200 |     1898776 |    15436538 |     1899379 |     1899614 |     1898016 |    15436691 |     1899370 |     1899614 |     1898036
    num cache misses                 |       35056 |      258931 |      258901 |      257931 |       34959 |      259476 |      258588 |      258530 |       35087 |      258940 |      258900 |      257920 |       35214 |      258931 |      258901 |      257931
    miss rate                        |       0.23% |      13.63% |      13.63% |      13.59% |       0.23% |      13.66% |      13.62% |      13.62% |       0.23% |      13.63% |      13.63% |      13.59% |       0.23% |      13.63% |      13.63% |      13.59%
    mpki                             |        0.17 |        1.15 |        1.15 |        1.15 |        0.17 |        1.15 |        1.15 |        1.15 |        0.17 |        1.15 |        1.15 |        1.15 |        0.17 |        1.15 |        1.15 |        1.15
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |      230142 |      230076 |      234700 |      231981 |      235679 |      233318 |      229433 |      232847 |      230018 |      239177 |      233593 |      233503 |      227233 |      233680 |      232913 |      229999
  average dram access latency (ns)   |       32.98 |       33.02 |       33.05 |       32.76 |       32.96 |       32.74 |       32.91 |       32.69 |       32.91 |       32.72 |       32.88 |       32.72 |       33.09 |       33.27 |       33.15 |       33.06
  average dram queueing delay        |        9.55 |        9.59 |        9.62 |        9.33 |        9.53 |        9.32 |        9.48 |        9.26 |        9.48 |        9.29 |        9.45 |        9.29 |        9.66 |        9.84 |        9.72 |        9.63
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |       15262 |      216173 |      216381 |      214538 |       14995 |      216910 |      215466 |      215487 |       15325 |      216112 |      216341 |      214568 |       15428 |      216167 |      216380 |      214557
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |         340 |         288 |         320 |         370 |         417 |         364 |         330 |         312 |         340 |         358 |         360 |         328 |         340 |         294 |         321 |         350
