                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |     328484 |     186855 |     187008 |     186936 |     328349 |     186824 |     187022 |     186876 |     328487 |     186823 |     187030 |     186936 |     328355 |     186850 |     187011 |     186968
    miss rate                        |      0.94% |      3.62% |      3.63% |      3.63% |      0.94% |      3.62% |      3.63% |      3.62% |      0.94% |      3.62% |      3.63% |      3.63% |      0.94% |      3.62% |      3.63% |      3.63%
    mpki                             |       2.95 |       6.49 |       6.50 |       6.50 |       2.95 |       6.49 |       6.50 |       6.49 |       2.95 |       6.49 |       6.50 |       6.50 |       2.95 |       6.49 |       6.50 |       6.50
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     370444 |     221103 |     221215 |     221056 |     370378 |     221019 |     221250 |     220963 |     370469 |     221025 |     221265 |     221046 |     370426 |     221095 |     221198 |     221125
    num cache misses                 |     297387 |     151038 |     151171 |     151013 |     297323 |     150991 |     151169 |     150924 |     297280 |     150997 |     151186 |     151004 |     297353 |     151024 |     151157 |     151052
    miss rate                        |     80.28% |     68.31% |     68.34% |     68.31% |     80.28% |     68.32% |     68.32% |     68.30% |     80.24% |     68.32% |     68.33% |     68.31% |     80.27% |     68.31% |     68.34% |     68.31%
    mpki                             |       2.67 |       5.25 |       5.25 |       5.25 |       2.67 |       5.25 |       5.25 |       5.24 |       2.67 |       5.25 |       5.25 |       5.25 |       2.67 |       5.25 |       5.25 |       5.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     301997 |     301711 |     302177 |     302681 |     302087 |     302296 |     303045 |     302192 |     302698 |     303448 |     303346 |     303187 |     303374 |     303165 |     303218 |     303022
  average dram access latency (ns)   |      48.56 |      48.10 |      50.01 |      53.55 |      49.62 |      59.87 |      54.79 |      48.64 |      47.88 |      48.99 |      48.51 |      49.67 |      46.85 |      47.29 |      49.53 |      52.57
  average dram queueing delay        |      25.13 |      24.67 |      26.58 |      30.13 |      26.19 |      36.44 |      31.37 |      25.21 |      24.45 |      25.56 |      25.08 |      26.24 |      23.42 |      23.86 |      26.10 |      29.14
  average dram bandwidth utilization |     17.00% |     17.00% |     17.00% |     18.00% |     17.00% |     17.00% |     18.00% |     17.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     107937 |      99917 |      99897 |      99713 |     107961 |      99827 |      99947 |      99711 |     107847 |     100012 |      99800 |      99716 |     107952 |      99895 |      99921 |      99730
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        294 |        246 |        232 |        357 |        290 |        308 |        198 |        306 |        285 |        124 |        350 |        354 |        294 |        260 |        206 |        357
