                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      0.07% |      0.33% |      0.32% |      0.33% |      0.07% |      0.33% |      0.33% |      0.33% |      0.07% |      0.33% |      0.32% |      0.34% |      0.07% |      0.32% |      0.33% |      0.33%
    mpki                             |       0.23 |       1.12 |       1.10 |       1.12 |       0.23 |       1.13 |       1.13 |       1.11 |       0.23 |       1.13 |       1.10 |       1.15 |       0.23 |       1.11 |       1.11 |       1.11
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3866131 |     472474 |     471649 |     473191 |    3866216 |     475679 |     475347 |     472678 |    3866149 |     474879 |     472347 |     476874 |    3866268 |     472173 |     472448 |     472301
    num cache misses                 |      14107 |       6379 |       3742 |       9902 |      14123 |      21677 |      21646 |       6363 |      14056 |      16570 |       6565 |      26192 |      14214 |       6272 |       8112 |       4672
    miss rate                        |      0.36% |      1.35% |      0.79% |      2.09% |      0.37% |      4.56% |      4.55% |      1.35% |      0.36% |      3.49% |      1.39% |      5.49% |      0.37% |      1.33% |      1.72% |      0.99%
    mpki                             |       0.27 |       0.11 |       0.07 |       0.18 |       0.27 |       0.39 |       0.39 |       0.11 |       0.27 |       0.29 |       0.12 |       0.47 |       0.27 |       0.11 |       0.14 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      12292 |      12414 |      15311 |       9259 |      20423 |      17156 |       9061 |       8739 |       8404 |      16370 |      19065 |      19979 |       9091 |      17307 |      20043 |       9417
  average dram access latency (ns)   |      29.16 |      29.06 |      29.59 |      28.30 |      30.40 |      29.75 |      28.45 |      28.10 |      28.01 |      29.62 |      30.04 |      30.02 |      28.78 |      29.92 |      30.09 |      28.17
  average dram queueing delay        |       5.73 |       5.63 |       6.16 |       4.87 |       6.97 |       6.32 |       5.02 |       4.67 |       4.58 |       6.19 |       6.61 |       6.59 |       5.35 |       6.49 |       6.66 |       4.74
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       6308 |       5266 |       2714 |       7891 |       6334 |      16659 |      16893 |       4890 |       6258 |      12939 |       4896 |      20379 |       6411 |       4857 |       6585 |       3638
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        266 |         89 |         51 |        178 |        266 |         94 |         51 |        198 |        266 |         97 |         52 |        170 |        265 |         91 |         53 |        176
