                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |     551467 |     498116 |     500388 |     501181 |     544012 |     498143 |     500396 |     501156 |     563684 |     498162 |     500403 |     501131 |     577746 |     498126 |     500445 |     501197
    miss rate                        |      1.17% |      1.11% |      1.20% |      1.18% |      1.15% |      1.11% |      1.20% |      1.18% |      1.20% |      1.11% |      1.20% |      1.18% |      1.23% |      1.11% |      1.20% |      1.18%
    mpki                             |       4.57 |       4.19 |       4.71 |       4.62 |       4.51 |       4.19 |       4.71 |       4.62 |       4.67 |       4.19 |       4.71 |       4.62 |       4.79 |       4.19 |       4.72 |       4.62
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2090160 |    1224640 |    1229225 |    1229720 |    2076844 |    1224650 |    1229220 |    1229684 |    2096700 |    1224662 |    1229229 |    1229644 |    2110257 |    1224623 |    1229288 |    1229584
    num cache misses                 |     142022 |      85017 |      85727 |      85465 |     128952 |      83526 |      83891 |      83523 |     128040 |      83533 |      83902 |      83451 |     127214 |      85011 |      85776 |      85320
    miss rate                        |      6.79% |      6.94% |      6.97% |      6.95% |      6.21% |      6.82% |      6.82% |      6.79% |      6.11% |      6.82% |      6.83% |      6.79% |      6.03% |      6.94% |      6.98% |      6.94%
    mpki                             |       1.18 |       0.72 |       0.81 |       0.79 |       1.07 |       0.70 |       0.79 |       0.77 |       1.06 |       0.70 |       0.79 |       0.77 |       1.05 |       0.72 |       0.81 |       0.79
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1725790 |      92965 |      29776 |      27932 |      27402 |      27741 |      28845 |      29957 |      29139 |      28273 |      32381 |      38025 |      30324 |      29221 |      28694 |      96756
  average dram access latency (ns)   |     545.04 |      25.62 |      26.69 |      25.96 |      25.63 |      25.78 |      26.32 |      26.39 |      26.04 |      25.96 |      25.68 |      25.69 |      26.78 |      26.28 |      26.08 |      25.88
  average dram queueing delay        |     521.61 |       2.19 |       3.27 |       2.53 |       2.20 |       2.35 |       2.89 |       2.96 |       2.61 |       2.53 |       2.25 |       2.26 |       3.35 |       2.85 |       2.65 |       2.45
  average dram bandwidth utilization |     43.00% |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      88493 |      66464 |      67664 |      66653 |      78987 |      66008 |      67170 |      65987 |      82723 |      66027 |      67215 |      65957 |      79904 |      66249 |      68666 |      66474
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4828 |       5997 |       5421 |       6152 |       4795 |       6188 |       5411 |       6243 |       4828 |       6182 |       5372 |       6252 |       5554 |       6217 |       4431 |       6172
