                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |     595225 |     568971 |     568992 |     576681 |     601188 |     569029 |     569001 |     576730 |     598589 |     569483 |     569462 |     577144 |     591969 |     569009 |     568979 |     576726
    miss rate                        |      1.43% |      1.49% |      1.49% |      1.51% |      1.45% |      1.49% |      1.49% |      1.51% |      1.44% |      1.49% |      1.49% |      1.51% |      1.43% |      1.49% |      1.49% |      1.51%
    mpki                             |       5.63 |       5.90 |       5.90 |       5.98 |       5.69 |       5.90 |       5.90 |       5.98 |       5.67 |       5.90 |       5.90 |       5.98 |       5.60 |       5.90 |       5.90 |       5.98
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2257043 |    1558103 |    1557387 |    1566576 |    2261838 |    1557374 |    1556661 |    1564900 |    2262492 |    1558526 |    1557814 |    1566965 |    2253713 |    1558127 |    1557423 |    1566667
    num cache misses                 |     127448 |      90207 |      90233 |     107617 |     113108 |      89259 |      89232 |      92138 |     144890 |      92862 |      92868 |     110373 |     128068 |      90257 |      90238 |     107704
    miss rate                        |      5.65% |      5.79% |      5.79% |      6.87% |      5.00% |      5.73% |      5.73% |      5.89% |      6.40% |      5.96% |      5.96% |      7.04% |      5.68% |      5.79% |      5.79% |      6.87%
    mpki                             |       1.21 |       0.93 |       0.93 |       1.12 |       1.07 |       0.93 |       0.92 |       0.95 |       1.37 |       0.96 |       0.96 |       1.14 |       1.21 |       0.94 |       0.94 |       1.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     543655 |     421546 |      64893 |      41859 |      32905 |      33036 |      37184 |      32574 |      78243 |      60220 |     431988 |       7001 |       2699 |       2988 |       3006 |       8335
  average dram access latency (ns)   |      35.96 |      33.55 |      42.83 |      34.24 |      26.18 |      27.67 |      26.06 |      26.36 |      37.94 |      35.85 |      28.99 |      23.90 |      25.18 |      25.26 |      24.97 |      24.08
  average dram queueing delay        |      12.53 |      10.12 |      19.40 |      10.81 |       2.75 |       4.24 |       2.63 |       2.93 |      14.51 |      12.42 |       5.56 |       0.47 |       1.75 |       1.84 |       1.54 |       0.65
  average dram bandwidth utilization |     16.00% |     12.00% |      1.00% |      1.00% |      0.00% |      0.00% |      1.00% |      0.00% |      2.00% |      1.00% |     12.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     101472 |      75260 |      76194 |      92468 |      89029 |      74254 |      76230 |      79294 |     114123 |      78248 |      78821 |      95492 |     102300 |      76204 |      76553 |      92992
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3366 |       4500 |       3575 |       3413 |       3666 |       5653 |       3658 |       3191 |       3368 |       3947 |       3383 |       2895 |       2894 |       3576 |       3218 |       2904
