                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   390087526 |   783233375 |   843490696 |   834545605 |   894732420 |   390087540 |   783215540 |   843415708 |   834590589 |   894727363 |   390087525 |   783197244 |   843436586 |   834548638 |   894715653 |           0
  Cycles                             |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800 |  1235862800
  IPC                                |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.00
  Time (ns)                          |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700 |   308965700
  Idle time (ns)                     |   250166899 |    87264023 |    70579494 |    73554173 |    59219282 |   250162800 |    87213406 |    70619648 |    73164160 |    58855558 |   250177768 |    87656334 |    70551013 |    73267999 |    59088232 |   308965700
  Idle time (%)                      |       81.0% |       28.2% |       22.8% |       23.8% |       19.2% |       81.0% |       28.2% |       22.9% |       23.7% |       19.0% |       81.0% |       28.4% |       22.8% |       23.7% |       19.1% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    43978097 |    90451961 |    96361954 |    96039838 |   102110171 |    43978249 |    90463338 |    96319864 |    95978958 |   102029727 |    43979392 |    90643426 |    96343786 |    95999281 |   102130262 |           0
  num incorrect                      |       95159 |    13690051 |    14747622 |    14577458 |    15141006 |       95007 |    13674776 |    14773189 |    14648252 |    15220369 |       93864 |    13490671 |    14753915 |    14618665 |    15117178 |           0
  misprediction rate                 |       0.22% |      13.15% |      13.27% |      13.18% |      12.91% |       0.22% |      13.13% |      13.30% |      13.24% |      12.98% |       0.21% |      12.96% |      13.28% |      13.22% |      12.89% |       0.00%
  mpki                               |        0.24 |       17.48 |       17.48 |       17.47 |       16.92 |        0.24 |       17.46 |       17.52 |       17.55 |       17.01 |        0.24 |       17.23 |       17.49 |       17.52 |       16.90 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    57964822 |   110461311 |   118940674 |   118083583 |   126314140 |    57964824 |   110457443 |   118924155 |   118093508 |   126313065 |    57964822 |   110453397 |   118928736 |   118084254 |   126310423 |           0
    num misses                       |         225 |          34 |          34 |          34 |          31 |         223 |          34 |          34 |          34 |          31 |         232 |          34 |          34 |          34 |          31 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   169706162 |   227164463 |   250543401 |   246148354 |   269328726 |   169706161 |   227156544 |   250509825 |   246168517 |   269326582 |   169706162 |   227148340 |   250518957 |   246149733 |   269321253 |           0
    num misses                       |      104943 |       77811 |       84053 |       78921 |       88244 |      109811 |       78247 |      152872 |       84871 |       84309 |      105931 |       84203 |       91721 |       90798 |       79523 |           0
    miss rate                        |       0.06% |       0.03% |       0.03% |       0.03% |       0.03% |       0.06% |       0.03% |       0.06% |       0.03% |       0.03% |       0.06% |       0.04% |       0.04% |       0.04% |       0.03% |       0.00%
