                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    2441302 |    2257338 |    2164229 |    2267775 |    2445256 |    2257235 |    2164530 |    2268201 |    2449286 |    2257219 |    2164594 |    2268203 |    2446554 |    2257350 |    2164168 |    2267786
    miss rate                        |      6.79% |      8.65% |      8.68% |      8.69% |      6.80% |      8.65% |      8.69% |      8.69% |      6.81% |      8.65% |      8.69% |      8.69% |      6.80% |      8.65% |      8.68% |      8.69%
    mpki                             |      28.39 |      36.35 |      36.46 |      36.48 |      28.43 |      36.35 |      36.47 |      36.49 |      28.48 |      36.35 |      36.47 |      36.49 |      28.45 |      36.35 |      36.46 |      36.48
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3903959 |    3644684 |    3490056 |    3659705 |    3906693 |    3643277 |    3489503 |    3659321 |    3910955 |    3643279 |    3489586 |    3659344 |    3909516 |    3644711 |    3489836 |    3659769
    num cache misses                 |    1801775 |    1644286 |    1577665 |    1657671 |    1808826 |    1642575 |    1576890 |    1656832 |    1811326 |    1642559 |    1576942 |    1656835 |    1824697 |    1644309 |    1577596 |    1657685
    miss rate                        |     46.15% |     45.11% |     45.20% |     45.30% |     46.30% |     45.09% |     45.19% |     45.28% |     46.31% |     45.08% |     45.19% |     45.28% |     46.67% |     45.11% |     45.21% |     45.29%
    mpki                             |      20.95 |      26.48 |      26.58 |      26.67 |      21.03 |      26.45 |      26.57 |      26.66 |      21.06 |      26.45 |      26.57 |      26.65 |      21.22 |      26.48 |      26.58 |      26.67
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    2487823 |    2570633 |    2643997 |    2729461 |    2826700 |    2930019 |    2971708 |    3039317 |    3096378 |    3123116 |    3185925 |    3245617 |    3286752 |    3343096 |    3393971 |    3444526
  average dram access latency (ns)   |      52.21 |      59.54 |      52.04 |      56.01 |      53.44 |      65.25 |      57.92 |      52.93 |      64.66 |      52.14 |      54.77 |      54.90 |      55.59 |      59.27 |      59.79 |      50.47
  average dram queueing delay        |      28.78 |      36.11 |      28.62 |      32.58 |      30.01 |      41.82 |      34.49 |      29.50 |      41.23 |      28.71 |      31.34 |      31.47 |      32.16 |      35.84 |      36.36 |      27.04
  average dram bandwidth utilization |     26.00% |     26.00% |     27.00% |     28.00% |     29.00% |     30.00% |     31.00% |     31.00% |     32.00% |     32.00% |     33.00% |     34.00% |     34.00% |     35.00% |     35.00% |     36.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1715444 |    1590862 |    1534533 |    1609331 |    1718765 |    1589514 |    1530987 |    1612260 |    1721921 |    1587188 |    1534215 |    1606545 |    1733028 |    1583295 |    1532382 |    1603366
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      36873 |      42325 |      32898 |      37526 |      40619 |      41937 |      35693 |      33742 |      39984 |      44264 |      32505 |      39474 |      42277 |      49891 |      34996 |      43506
