                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |     383928 |    4612769 |    4603932 |     144537 |     383853 |    4612581 |    4607462 |     144578 |     383828 |    4594703 |    4610587 |     144436 |     383903 |    4604081 |    4613687 |     144446
    miss rate                        |      1.66% |      3.63% |      3.61% |      1.94% |      1.66% |      3.66% |      3.59% |      1.94% |      1.66% |      3.65% |      3.58% |      1.94% |      1.66% |      3.63% |      3.61% |      1.94%
    mpki                             |       4.25 |       8.53 |       8.46 |       5.91 |       4.24 |       8.60 |       8.40 |       5.91 |       4.24 |       8.58 |       8.40 |       5.90 |       4.25 |       8.52 |       8.47 |       5.90
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     577738 |    7327934 |    7310390 |     170380 |     577535 |    7334036 |    7319563 |     170355 |     577539 |    7303121 |    7329890 |     170297 |     577702 |    7316210 |    7336662 |     170197
    num cache misses                 |     393844 |    6142275 |    6118723 |     147927 |     393517 |    6141938 |    6128869 |     147891 |     393775 |    6102724 |    6136257 |     147837 |     393732 |    6124280 |    6139764 |     147775
    miss rate                        |     68.17% |     83.82% |     83.70% |     86.82% |     68.14% |     83.75% |     83.73% |     86.81% |     68.18% |     83.56% |     83.72% |     86.81% |     68.15% |     83.71% |     83.69% |     86.83%
    mpki                             |       4.36 |      11.36 |      11.25 |       6.04 |       4.35 |      11.45 |      11.17 |       6.04 |       4.35 |      11.39 |      11.17 |       6.04 |       4.35 |      11.33 |      11.28 |       6.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    2561855 |    2479483 |    2570563 |    2317984 |    2582811 |    2308371 |    2494153 |    2302279 |    2581738 |    2309859 |    2443528 |    2308347 |    2546818 |    2273400 |    2549327 |    2254588
  average dram access latency (ns)   |      25.72 |      25.66 |      25.48 |      25.45 |      25.44 |      25.46 |      25.47 |      25.45 |      25.64 |      25.64 |      25.58 |      25.49 |      25.46 |      25.38 |      25.50 |      25.61
  average dram queueing delay        |       2.29 |       2.23 |       2.05 |       2.02 |       2.01 |       2.03 |       2.04 |       2.03 |       2.21 |       2.21 |       2.15 |       2.06 |       2.03 |       1.95 |       2.07 |       2.18
  average dram bandwidth utilization |     12.00% |     11.00% |     12.00% |     11.00% |     12.00% |     11.00% |     11.00% |     10.00% |     12.00% |     11.00% |     11.00% |     11.00% |     12.00% |     10.00% |     12.00% |     10.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     207137 |    3043860 |    3082269 |      62838 |     207108 |    2851132 |    3283776 |      62859 |     207149 |    2904403 |    3205697 |      62792 |     207118 |    3081715 |    3050933 |      62815
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        270 |    1192278 |    1169900 |         57 |        223 |    1390684 |     969835 |         63 |        240 |    1335147 |    1024359 |         61 |        276 |    1168523 |    1188336 |         59
