                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71%
    mpki                             |       2.70 |       3.01 |       3.00 |       3.01 |       2.70 |       3.01 |       3.01 |       3.01 |       2.70 |       3.01 |       3.01 |       3.01 |       2.70 |       3.01 |       3.00 |       3.01
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     377272 |     284685 |     271055 |     283795 |     377064 |     284533 |     271604 |     283918 |     377330 |     284557 |     271515 |     283956 |     377282 |     284712 |     271040 |     283752
    num cache misses                 |     199642 |     121301 |     112717 |     118163 |     199370 |     121616 |     113020 |     118047 |     200436 |     121622 |     112980 |     118083 |     199588 |     121357 |     112722 |     118093
    miss rate                        |     52.92% |     42.61% |     41.58% |     41.64% |     52.87% |     42.74% |     41.61% |     41.58% |     53.12% |     42.74% |     41.61% |     41.58% |     52.90% |     42.62% |     41.59% |     41.62%
    mpki                             |       1.97 |       1.91 |       1.86 |       1.86 |       1.97 |       1.92 |       1.86 |       1.86 |       1.98 |       1.92 |       1.86 |       1.86 |       1.97 |       1.91 |       1.86 |       1.86
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     216440 |     213885 |     216485 |     213867 |     222394 |     220010 |     220605 |     221693 |     219731 |     214803 |     214118 |     211866 |     217455 |     211524 |     212620 |     217185
  average dram access latency (ns)   |      26.04 |      25.40 |      25.49 |      24.93 |      25.80 |      25.16 |      25.45 |      24.98 |      25.41 |      24.81 |      25.01 |      24.77 |      25.33 |      24.73 |      24.95 |      24.87
  average dram queueing delay        |       2.61 |       1.97 |       2.06 |       1.50 |       2.37 |       1.73 |       2.02 |       1.55 |       1.98 |       1.38 |       1.58 |       1.34 |       1.90 |       1.30 |       1.52 |       1.44
  average dram bandwidth utilization |     14.00% |     13.00% |     14.00% |     13.00% |     14.00% |     14.00% |     14.00% |     14.00% |     14.00% |     14.00% |     13.00% |     13.00% |     14.00% |     13.00% |     13.00% |     14.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     145434 |      99623 |      96820 |     101726 |     143839 |     100141 |      98696 |     100820 |     145437 |      99987 |      97889 |     101322 |     145066 |      99812 |      97121 |     101554
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      14163 |      17370 |      12263 |      12550 |      15431 |      17107 |      10399 |      13315 |      14958 |      17280 |      11193 |      12830 |      14473 |      17205 |      11965 |      12676
