                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |     554536 |     498101 |     500432 |     501151 |     554433 |     498110 |     500398 |     501108 |     544034 |     498158 |     500394 |     501112 |     543531 |     498074 |     500404 |     501148
    miss rate                        |      1.18% |      1.11% |      1.20% |      1.18% |      1.18% |      1.11% |      1.20% |      1.18% |      1.15% |      1.11% |      1.20% |      1.18% |      1.15% |      1.11% |      1.20% |      1.18%
    mpki                             |       4.59 |       4.19 |       4.72 |       4.62 |       4.59 |       4.19 |       4.71 |       4.62 |       4.51 |       4.19 |       4.71 |       4.62 |       4.50 |       4.19 |       4.71 |       4.62
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2087718 |    1224639 |    1229206 |    1229485 |    2087239 |    1224605 |    1229194 |    1229528 |    2076923 |    1224652 |    1229220 |    1229389 |    2076263 |    1224513 |    1229255 |    1229498
    num cache misses                 |     131744 |      85033 |      85731 |      85271 |     128039 |      84943 |      85649 |      85242 |     129047 |      83522 |      83929 |      83239 |     126285 |      83064 |      83840 |      83260
    miss rate                        |      6.31% |      6.94% |      6.97% |      6.94% |      6.13% |      6.94% |      6.97% |      6.93% |      6.21% |      6.82% |      6.83% |      6.77% |      6.08% |      6.78% |      6.82% |      6.77%
    mpki                             |       1.09 |       0.72 |       0.81 |       0.79 |       1.06 |       0.71 |       0.81 |       0.79 |       1.07 |       0.70 |       0.79 |       0.77 |       1.05 |       0.70 |       0.79 |       0.77
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1714982 |      92821 |      29733 |      27841 |      27420 |      27976 |      29079 |      30211 |      29418 |      28551 |      31584 |      31584 |      30214 |      29188 |      28599 |      96523
  average dram access latency (ns)   |     534.62 |      25.63 |      26.54 |      25.88 |      25.57 |      25.79 |      26.14 |      26.27 |      25.97 |      25.90 |      25.75 |      26.04 |      26.71 |      26.31 |      25.89 |      25.84
  average dram queueing delay        |     511.19 |       2.20 |       3.12 |       2.45 |       2.14 |       2.36 |       2.71 |       2.84 |       2.54 |       2.47 |       2.32 |       2.61 |       3.28 |       2.88 |       2.46 |       2.41
  average dram bandwidth utilization |     43.00% |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      77994 |      66259 |      68561 |      66463 |      76058 |      66319 |      68582 |      66371 |      78590 |      66001 |      67981 |      65805 |      75500 |      65606 |      67983 |      65811
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       5403 |       6203 |       4509 |       6147 |       5401 |       6112 |       4487 |       6250 |       5192 |       6201 |       4601 |       6201 |       5291 |       6211 |       4546 |       6152
