                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |     328142 |     186823 |     187024 |     186946 |     328105 |     186833 |     187010 |     186988 |     328333 |     186829 |     187023 |     186958 |     328060 |     186835 |     186934 |     186967
    miss rate                        |      0.94% |      3.62% |      3.63% |      3.63% |      0.94% |      3.62% |      3.63% |      3.63% |      0.94% |      3.62% |      3.63% |      3.63% |      0.94% |      3.62% |      3.63% |      3.63%
    mpki                             |       2.95 |       6.49 |       6.50 |       6.50 |       2.95 |       6.49 |       6.50 |       6.50 |       2.95 |       6.49 |       6.50 |       6.50 |       2.95 |       6.49 |       6.50 |       6.50
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     370165 |     221019 |     221238 |     221096 |     370118 |     221037 |     221243 |     221196 |     370333 |     221010 |     221261 |     221138 |     370077 |     221029 |     221071 |     221165
    num cache misses                 |     297378 |     150992 |     151157 |     151052 |     297259 |     150974 |     151173 |     151108 |     297228 |     150981 |     151214 |     151058 |     297383 |     151007 |     151035 |     151076
    miss rate                        |     80.34% |     68.32% |     68.32% |     68.32% |     80.31% |     68.30% |     68.33% |     68.31% |     80.26% |     68.31% |     68.34% |     68.31% |     80.36% |     68.32% |     68.32% |     68.31%
    mpki                             |       2.67 |       5.25 |       5.25 |       5.25 |       2.67 |       5.25 |       5.25 |       5.25 |       2.67 |       5.25 |       5.25 |       5.25 |       2.67 |       5.25 |       5.25 |       5.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     302027 |     301771 |     302119 |     302690 |     302208 |     302506 |     303430 |     302538 |     302884 |     303149 |     303030 |     303055 |     303097 |     303004 |     303173 |     303016
  average dram access latency (ns)   |      49.60 |      48.57 |      50.48 |      53.39 |      50.83 |      55.63 |      53.75 |      48.96 |      48.04 |      50.63 |      48.74 |      50.33 |      47.91 |      46.88 |      50.21 |      50.79
  average dram queueing delay        |      26.17 |      25.14 |      27.05 |      29.96 |      27.40 |      32.20 |      30.32 |      25.53 |      24.61 |      27.21 |      25.31 |      26.90 |      24.48 |      23.46 |      26.78 |      27.36
  average dram bandwidth utilization |     17.00% |     17.00% |     17.00% |     18.00% |     17.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00% |     18.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     107954 |      99892 |      99904 |      99723 |     107862 |      99861 |      99905 |      99793 |     107887 |     100013 |      99914 |      99595 |     107948 |      99833 |      99861 |      99794
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        288 |        241 |        241 |        348 |        294 |        284 |        229 |        309 |        296 |        126 |        230 |        482 |        294 |        308 |        208 |        301
