                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |       5208 |          0 |          0 |          0 |       5196 |          0 |          0 |          0 |       5212 |          0 |          0 |          0 |       5198 |          0 |          0 |          0
    miss rate                        |     75.33% |       inf% |       inf% |       inf% |     75.11% |       inf% |       inf% |       inf% |     75.24% |       inf% |       inf% |       inf% |     75.05% |       inf% |       inf% |       inf%
    mpki                             |      19.40 |        inf |        inf |        inf |      19.35 |        inf |        inf |        inf |      19.41 |        inf |        inf |        inf |      19.36 |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       1603 |       1596 |       1473 |       1508 |       1518 |       1504 |       1475 |       1528 |       1543 |       1548 |       1418 |       1305 |       1459 |       1528 |       1606 |       1609
  average dram access latency (ns)   |      25.67 |      25.20 |      24.63 |      25.18 |      25.03 |      24.96 |      25.25 |      25.69 |      25.13 |      25.25 |      24.77 |      24.72 |      25.15 |      25.41 |      25.55 |      25.21
  average dram queueing delay        |       2.24 |       1.77 |       1.20 |       1.75 |       1.60 |       1.53 |       1.82 |       2.26 |       1.70 |       1.82 |       1.34 |       1.29 |       1.72 |       1.98 |       2.12 |       1.78
  average dram bandwidth utilization |      9.00% |      9.00% |      9.00% |      9.00% |      9.00% |      9.00% |      9.00% |      9.00% |      9.00% |      9.00% |      8.00% |      8.00% |      9.00% |      9.00% |      9.00% |     10.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       3139 |          0 |          0 |          0 |       3127 |          0 |          0 |          0 |       3143 |          0 |          0 |          0 |       3138 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
