                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    2762787 |    2748502 |    2739076 |    2746120 |    2761445 |    2750016 |    2742222 |    2744837 |    2762895 |    2751181 |    2741357 |    2744287 |    2762546 |    2748612 |    2739282 |    2745656
    miss rate                        |      8.99% |      9.00% |      9.05% |      9.05% |      8.99% |      9.01% |      9.06% |      9.05% |      8.99% |      9.01% |      9.06% |      9.05% |      8.99% |      9.00% |      9.05% |      9.05%
    mpki                             |      34.80 |      34.88 |      34.94 |      34.96 |      34.80 |      34.89 |      34.96 |      34.95 |      34.81 |      34.90 |      34.96 |      34.94 |      34.80 |      34.88 |      34.94 |      34.95
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3345515 |    3322156 |    3310650 |    3320775 |    3342189 |    3322180 |    3317752 |    3320220 |    3343680 |    3326248 |    3315043 |    3318360 |    3345156 |    3322491 |    3310768 |    3320338
    num cache misses                 |    2577898 |    2559367 |    2551305 |    2559276 |    2574392 |    2560601 |    2554195 |    2554436 |    2575583 |    2562137 |    2555535 |    2557178 |    2577107 |    2559616 |    2551977 |    2558867
    miss rate                        |     77.06% |     77.04% |     77.06% |     77.07% |     77.03% |     77.08% |     76.99% |     76.94% |     77.03% |     77.03% |     77.09% |     77.06% |     77.04% |     77.04% |     77.08% |     77.07%
    mpki                             |      32.47 |      32.48 |      32.54 |      32.58 |      32.44 |      32.49 |      32.57 |      32.53 |      32.45 |      32.50 |      32.59 |      32.56 |      32.46 |      32.48 |      32.55 |      32.58
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    3649901 |    3459972 |    3466299 |    3450730 |    3461362 |    3487541 |    3498198 |    3499255 |    3500933 |    3486334 |    3488085 |    3485137 |    3484732 |    3492254 |    3522463 |    3531331
  average dram access latency (ns)   |      62.14 |      41.85 |      41.32 |      41.65 |      41.88 |      41.22 |      41.26 |      42.52 |      41.16 |      40.79 |      41.67 |      40.71 |      40.50 |      43.00 |      41.91 |      45.47
  average dram queueing delay        |      38.71 |      18.42 |      17.89 |      18.22 |      18.45 |      17.79 |      17.83 |      19.09 |      17.73 |      17.36 |      18.24 |      17.28 |      17.07 |      19.57 |      18.48 |      22.04
  average dram bandwidth utilization |     42.00% |     39.00% |     39.00% |     39.00% |     39.00% |     40.00% |     40.00% |     40.00% |     40.00% |     40.00% |     40.00% |     40.00% |     40.00% |     40.00% |     40.00% |     40.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1971503 |    1972055 |    1969822 |    1960100 |    1967787 |    1970856 |    1969786 |    1958005 |    1968186 |    1969446 |    1972315 |    1962018 |    1967173 |    1971918 |    1970257 |    1963795
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      46011 |      36262 |      35707 |      47692 |      48365 |      38285 |      35879 |      45560 |      49155 |      39271 |      35360 |      44772 |      49748 |      36531 |      35832 |      44001
