                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    2227888 |    1190858 |    1073466 |    1162442 |    2230317 |    1189963 |    1074311 |    1162123 |    2224777 |    1189941 |    1073126 |    1162036 |    2226981 |    1190090 |    1072956 |    1161931
    miss rate                        |      1.82% |      1.91% |      1.72% |      1.84% |      1.83% |      1.91% |      1.72% |      1.84% |      1.82% |      1.90% |      1.72% |      1.84% |      1.83% |      1.91% |      1.72% |      1.85%
    mpki                             |       6.81 |       6.60 |       5.46 |       6.13 |       6.82 |       6.59 |       5.46 |       6.13 |       6.81 |       6.58 |       5.46 |       6.13 |       6.82 |       6.59 |       5.46 |       6.14
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2971499 |    1820856 |    1625637 |    1746369 |    2973268 |    1820130 |    1625957 |    1745711 |    2968987 |    1819432 |    1627149 |    1745089 |    2973055 |    1820328 |    1625215 |    1746477
    num cache misses                 |    1870019 |     823076 |     672360 |     784168 |    1868558 |     823019 |     675151 |     783824 |    1869424 |     822090 |     674565 |     784761 |    1871095 |     821604 |     671385 |     785699
    miss rate                        |     62.93% |     45.20% |     41.36% |     44.90% |     62.85% |     45.22% |     41.52% |     44.90% |     62.97% |     45.18% |     41.46% |     44.97% |     62.94% |     45.13% |     41.31% |     44.99%
    mpki                             |       5.72 |       4.56 |       3.42 |       4.14 |       5.72 |       4.56 |       3.43 |       4.13 |       5.72 |       4.55 |       3.43 |       4.14 |       5.73 |       4.55 |       3.42 |       4.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1736902 |    1719720 |    1676631 |    1665504 |    1661916 |    1664199 |    1682329 |    1659996 |    1644469 |    1645539 |    1628839 |    1621170 |    1611363 |    1643944 |    1672348 |    1709143
  average dram access latency (ns)   |      26.63 |      26.42 |      26.28 |      26.23 |      26.25 |      26.23 |      26.25 |      26.22 |      26.16 |      26.18 |      26.12 |      26.15 |      26.18 |      26.21 |      26.31 |      26.57
  average dram queueing delay        |       3.20 |       2.99 |       2.86 |       2.81 |       2.83 |       2.80 |       2.82 |       2.79 |       2.73 |       2.75 |       2.69 |       2.72 |       2.75 |       2.78 |       2.88 |       3.14
  average dram bandwidth utilization |     17.00% |     16.00% |     16.00% |     16.00% |     16.00% |     16.00% |     16.00% |     16.00% |     16.00% |     16.00% |     15.00% |     15.00% |     15.00% |     16.00% |     16.00% |     16.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1103158 |     642660 |     578306 |     605077 |    1104830 |     641162 |     579463 |     606156 |    1103629 |     641797 |     579774 |     606026 |    1105267 |     643331 |     576504 |     607387
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      32027 |      18715 |      24435 |      35741 |      30032 |      20378 |      25464 |      34078 |      31944 |      19848 |      24081 |      34441 |      32313 |      18982 |      25705 |      33990
