                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |      32835 |     254731 |     255030 |     252671 |      32701 |     254113 |     253299 |     252564 |      32733 |     254110 |     253297 |     252564 |      32828 |     254731 |     255028 |     252669
    miss rate                        |      0.04% |      0.33% |      0.33% |      0.33% |      0.04% |      0.33% |      0.33% |      0.33% |      0.04% |      0.33% |      0.33% |      0.33% |      0.04% |      0.33% |      0.33% |      0.33%
    mpki                             |       0.16 |       1.13 |       1.13 |       1.12 |       0.16 |       1.13 |       1.13 |       1.12 |       0.16 |       1.13 |       1.13 |       1.12 |       0.16 |       1.13 |       1.13 |       1.12
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15436462 |    1902820 |    1902338 |    1898732 |   15436381 |    1899768 |    1899385 |    1898612 |   15436410 |    1899765 |    1899383 |    1898612 |   15436436 |    1902820 |    1902337 |    1898730
    num cache misses                 |      35095 |     262905 |     262115 |     259010 |      34905 |     259478 |     258742 |     258390 |      34864 |     259475 |     258740 |     258390 |      35079 |     262905 |     262113 |     259008
    miss rate                        |      0.23% |     13.82% |     13.78% |     13.64% |      0.23% |     13.66% |     13.62% |     13.61% |      0.23% |     13.66% |     13.62% |     13.61% |      0.23% |     13.82% |     13.78% |     13.64%
    mpki                             |       0.17 |       1.17 |       1.17 |       1.15 |       0.17 |       1.15 |       1.15 |       1.15 |       0.17 |       1.15 |       1.15 |       1.15 |       0.17 |       1.17 |       1.17 |       1.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     231504 |     231673 |     235538 |     232648 |     235993 |     234011 |     230322 |     233565 |     231014 |     240061 |     235844 |     236162 |     228013 |     234321 |     232866 |     230728
  average dram access latency (ns)   |      34.55 |      34.47 |      34.28 |      33.85 |      33.94 |      33.83 |      34.04 |      33.87 |      34.05 |      34.04 |      33.91 |      33.88 |      34.18 |      34.48 |      34.46 |      34.37
  average dram queueing delay        |      11.12 |      11.04 |      10.85 |      10.42 |      10.52 |      10.40 |      10.61 |      10.44 |      10.63 |      10.61 |      10.48 |      10.45 |      10.75 |      11.05 |      11.03 |      10.94
  average dram bandwidth utilization |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00% |      1.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      15321 |     218061 |     217864 |     215572 |      15008 |     216941 |     215668 |     215267 |      14969 |     216943 |     215670 |     215237 |      15300 |     218057 |     217864 |     215575
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        324 |        321 |        240 |        793 |        405 |        333 |        211 |        460 |        405 |        331 |        209 |        490 |        324 |        325 |        240 |        790
