                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    2763498 |    2749674 |    2740514 |    2745089 |    2765170 |    2749034 |    2741048 |    2745146 |    2763210 |    2748783 |    2741113 |    2745853 |    2752198 |    2752018 |    2740576 |    2751805
    miss rate                        |      8.99% |      9.01% |      9.05% |      9.05% |      9.00% |      9.00% |      9.06% |      9.05% |      8.99% |      9.00% |      9.06% |      9.05% |      9.03% |      9.00% |      9.05% |      9.01%
    mpki                             |      34.82 |      34.89 |      34.95 |      34.95 |      34.84 |      34.88 |      34.95 |      34.95 |      34.81 |      34.88 |      34.95 |      34.96 |      34.85 |      34.87 |      34.95 |      34.90
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3344946 |    3323928 |    3313157 |    3319811 |    3347341 |    3321885 |    3314191 |    3319961 |    3345048 |    3319309 |    3315124 |    3322054 |    3332893 |    3324774 |    3313789 |    3327882
    num cache misses                 |    2575542 |    2560603 |    2554280 |    2558204 |    2576801 |    2557934 |    2555404 |    2558323 |    2576039 |    2558214 |    2552213 |    2556107 |    2567400 |    2561402 |    2555052 |    2564586
    miss rate                        |     77.00% |     77.04% |     77.10% |     77.06% |     76.98% |     77.00% |     77.10% |     77.06% |     77.01% |     77.07% |     76.99% |     76.94% |     77.03% |     77.04% |     77.10% |     77.06%
    mpki                             |      32.45 |      32.49 |      32.57 |      32.57 |      32.46 |      32.46 |      32.59 |      32.57 |      32.45 |      32.46 |      32.55 |      32.54 |      32.51 |      32.46 |      32.58 |      32.53
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    3648592 |    3459438 |    3467409 |    3452050 |    3464927 |    3489972 |    3499693 |    3503768 |    3505410 |    3488213 |    3489152 |    3486353 |    3484646 |    3490763 |    3521125 |    3529305
  average dram access latency (ns)   |      74.73 |      47.90 |      48.35 |      48.53 |      48.71 |      48.23 |      48.59 |      49.74 |      48.77 |      48.61 |      49.22 |      47.78 |      47.65 |      50.01 |      49.36 |      51.43
  average dram queueing delay        |      51.30 |      24.47 |      24.92 |      25.10 |      25.28 |      24.80 |      25.16 |      26.31 |      25.34 |      25.18 |      25.79 |      24.36 |      24.23 |      26.58 |      25.93 |      28.00
  average dram bandwidth utilization |     54.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     52.00% |     53.00% |     53.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1969647 |    1969999 |    1972077 |    1961626 |    1970622 |    1971032 |    1971441 |    1959948 |    1969670 |    1971109 |    1969353 |    1958032 |    1966728 |    1964314 |    1971956 |    1973201
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      47099 |      38825 |      35054 |      45982 |      46314 |      36175 |      36382 |      47578 |      46841 |      37314 |      35425 |      46690 |      44350 |      46031 |      35822 |      37313
