                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   390087564 |   783173438 |   843477556 |   834507574 |   894713420 |   390087526 |   783317427 |   843412494 |   834661816 |   894720193 |   390087575 |   783243503 |   843452746 |   834587648 |   894731383 |           0
  Cycles                             |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800 |  1234656800
  IPC                                |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.00
  Time (ns)                          |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200 |   308664200
  Idle time (ns)                     |   249858400 |    87011465 |    70211703 |    73130492 |    58913682 |   249818892 |    86891049 |    70165504 |    73012674 |    58899260 |   249864228 |    87027843 |    70427366 |    73476190 |    59171888 |   308664200
  Idle time (%)                      |       80.9% |       28.2% |       22.7% |       23.7% |       19.1% |       80.9% |       28.2% |       22.7% |       23.7% |       19.1% |       81.0% |       28.2% |       22.8% |       23.8% |       19.2% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    43978104 |    90459248 |    96349771 |    96018402 |   102142657 |    43977486 |    90492761 |    96335009 |    96031175 |   102145080 |    43978246 |    90446086 |    96354202 |    96071508 |   102164805 |           0
  num incorrect                      |       95159 |    13669483 |    14757044 |    14590507 |    15104266 |       95770 |    13667623 |    14757147 |    14611880 |    15103236 |       95021 |    13698157 |    14747088 |    14554872 |    15086142 |           0
  misprediction rate                 |       0.22% |      13.13% |      13.28% |      13.19% |      12.88% |       0.22% |      13.12% |      13.28% |      13.21% |      12.88% |       0.22% |      13.15% |      13.27% |      13.16% |      12.87% |       0.00%
  mpki                               |        0.24 |       17.45 |       17.50 |       17.48 |       16.88 |        0.25 |       17.45 |       17.50 |       17.51 |       16.88 |        0.24 |       17.49 |       17.48 |       17.44 |       16.86 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    57964827 |   110448108 |   118937890 |   118075170 |   126309920 |    57964822 |   110479694 |   118923231 |   118109281 |   126311232 |    57964827 |   110463603 |   118932334 |   118092700 |   126313897 |           0
    num misses                       |         225 |          34 |          34 |          34 |          31 |         230 |          34 |          34 |          34 |          31 |         225 |          34 |          34 |          34 |          31 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
