                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    5242470 |    5188961 |    5202820 |    5214248 |    5240674 |    5188540 |    5202761 |    5214567 |    5233816 |    5188514 |    5203045 |    5214416 |    5233838 |    5189167 |    5202915 |    5214758
    miss rate                        |     17.48% |     17.46% |     17.60% |     17.62% |     17.47% |     17.46% |     17.60% |     17.62% |     17.45% |     17.46% |     17.60% |     17.62% |     17.45% |     17.46% |     17.60% |     17.62%
    mpki                             |      63.81 |      63.83 |      64.05 |      64.13 |      63.79 |      63.83 |      64.05 |      64.13 |      63.71 |      63.83 |      64.06 |      64.13 |      63.71 |      63.83 |      64.05 |      64.14
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5918771 |    5812211 |    5821502 |    5874003 |    5916161 |    5811401 |    5821761 |    5873891 |    5906290 |    5811203 |    5821678 |    5873704 |    5906565 |    5812185 |    5821347 |    5874245
    num cache misses                 |    5216091 |    5108973 |    5125559 |    5179157 |    5213592 |    5108471 |    5125838 |    5179222 |    5202859 |    5110858 |    5124536 |    5177225 |    5202476 |    5111649 |    5124210 |    5177314
    miss rate                        |     88.13% |     87.90% |     88.05% |     88.17% |     88.12% |     87.90% |     88.05% |     88.17% |     88.09% |     87.95% |     88.03% |     88.14% |     88.08% |     87.95% |     88.02% |     88.14%
    mpki                             |      63.49 |      62.85 |      63.10 |      63.70 |      63.46 |      62.84 |      63.10 |      63.70 |      63.33 |      62.87 |      63.09 |      63.67 |      63.33 |      62.88 |      63.08 |      63.67
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    7068820 |    7050988 |    7055895 |    7045526 |    7037740 |    6977575 |    7022094 |    7032564 |    7007005 |    7022593 |    7016024 |    7021059 |    7016172 |    7062475 |    7121038 |    7075215
  average dram access latency (ns)   |      74.77 |      71.29 |      71.56 |      72.20 |      70.08 |      69.76 |      70.63 |      70.46 |      68.93 |      69.69 |      69.76 |      73.73 |      68.62 |      90.73 |      75.42 |      71.28
  average dram queueing delay        |      51.34 |      47.86 |      48.13 |      48.77 |      46.65 |      46.33 |      47.20 |      47.03 |      45.50 |      46.26 |      46.33 |      50.30 |      45.19 |      67.30 |      51.99 |      47.85
  average dram bandwidth utilization |     65.00% |     65.00% |     65.00% |     64.00% |     64.00% |     64.00% |     64.00% |     64.00% |     64.00% |     64.00% |     64.00% |     64.00% |     64.00% |     65.00% |     65.00% |     65.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    3691212 |    3660900 |    3606279 |    3613164 |    3690567 |    3659359 |    3608473 |    3614336 |    3680527 |    3661367 |    3606212 |    3612334 |    3679232 |    3659405 |    3607839 |    3612422
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      35408 |      33640 |      98439 |      99153 |      33754 |      35126 |      96184 |      97806 |      35785 |      35369 |      96877 |      97731 |      36648 |      37789 |      95006 |      97627
