                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    num cache misses                 |      643886 |     1609773 |     1753118 |     1692484 |     1849273 |      644684 |     1607585 |     1751123 |     1691006 |     1847963 |      643441 |     1608543 |     1753611 |     1691813 |     1849759 |           0
    miss rate                        |       0.38% |       0.71% |       0.70% |       0.69% |       0.69% |       0.38% |       0.71% |       0.70% |       0.69% |       0.69% |       0.38% |       0.71% |       0.70% |       0.69% |       0.69% |        inf%
    mpki                             |        1.65 |        2.06 |        2.08 |        2.03 |        2.07 |        1.65 |        2.05 |        2.08 |        2.03 |        2.07 |        1.65 |        2.05 |        2.08 |        2.03 |        2.07 |         inf
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5177556 |     1916522 |     2077967 |     2011365 |     2188199 |     5178894 |     1911986 |     2073931 |     2008277 |     2185246 |     5177243 |     1914440 |     2079142 |     2010061 |     2189190 |           0
    num cache misses                 |      527481 |     1128230 |     1208817 |     1176107 |     1262257 |      527268 |     1126055 |     1206634 |     1175629 |     1262945 |      527780 |     1127363 |     1209312 |     1175706 |     1262871 |           0
    miss rate                        |      10.19% |      58.87% |      58.17% |      58.47% |      57.68% |      10.18% |      58.89% |      58.18% |      58.54% |      57.79% |      10.19% |      58.89% |      58.16% |      58.49% |      57.69% |        inf%
    mpki                             |        1.35 |        1.44 |        1.43 |        1.41 |        1.41 |        1.35 |        1.44 |        1.43 |        1.41 |        1.41 |        1.35 |        1.44 |        1.43 |        1.41 |        1.41 |         inf
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     1350406 |     1334896 |     1263309 |     1302283 |     1277234 |     1325942 |     1368254 |     1290728 |     1333619 |     1354273 |     1331880 |     1322464 |     1318414 |     1273347 |     1348008 |     1385268
  average dram access latency (ns)   |       29.99 |       29.92 |       29.66 |       31.80 |       32.01 |       29.75 |       29.91 |       29.67 |       31.92 |       33.73 |       37.33 |       29.95 |       29.92 |       29.79 |       33.49 |       32.20
  average dram queueing delay        |        6.56 |        6.49 |        6.23 |        8.37 |        8.58 |        6.32 |        6.48 |        6.24 |        8.50 |       10.30 |       13.90 |        6.52 |        6.50 |        6.36 |       10.06 |        8.78
  average dram bandwidth utilization |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |      281541 |      796296 |      845738 |      787486 |      839965 |      281387 |      796676 |      845542 |      786814 |      841454 |      281741 |      796879 |      845809 |      785686 |      840176 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |        2212 |       62501 |       63690 |       97654 |      100613 |        2229 |       60019 |       61520 |       96900 |       98686 |        2196 |       61277 |       64191 |       99048 |      100874 |           0
