                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   390087502 |   783183234 |   843439523 |   834493649 |   894721383 |   390087540 |   783414622 |   844221280 |   834898984 |   894721123 |   390087569 |   783114258 |   843508710 |   834271330 |   894790502 |           0
  Cycles                             |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200 |  1247797200
  IPC                                |        0.31 |        0.63 |        0.68 |        0.67 |        0.72 |        0.31 |        0.63 |        0.68 |        0.67 |        0.72 |        0.31 |        0.63 |        0.68 |        0.67 |        0.72 |        0.00
  Time (ns)                          |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300 |   311949300
  Idle time (ns)                     |   253115993 |    87841118 |    72266945 |    75713661 |    60706105 |   253139824 |    87250392 |    70532856 |    74619003 |    58916756 |   253134891 |    88481478 |    72754570 |    72889207 |    61473462 |   311949300
  Idle time (%)                      |       81.1% |       28.2% |       23.2% |       24.3% |       19.5% |       81.1% |       28.0% |       22.6% |       23.9% |       18.9% |       81.1% |       28.4% |       23.3% |       23.4% |       19.7% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    43978200 |    90182202 |    96491639 |    96010533 |   102166557 |    43978594 |    90524156 |    96528579 |    96117582 |   102166101 |    43978365 |    90127291 |    96317717 |    95923389 |   102023022 |           0
  num incorrect                      |       95049 |    13948952 |    14606634 |    14595176 |    15082090 |       94662 |    13658331 |    14743326 |    14578206 |    15082386 |       94901 |    13988346 |    14795883 |    14632824 |    15240991 |           0
  misprediction rate                 |       0.22% |      13.40% |      13.15% |      13.20% |      12.86% |       0.21% |      13.11% |      13.25% |      13.17% |      12.86% |       0.22% |      13.44% |      13.32% |      13.24% |      13.00% |       0.00%
  mpki                               |        0.24 |       17.81 |       17.32 |       17.49 |       16.86 |        0.24 |       17.43 |       17.46 |       17.46 |       16.86 |        0.24 |       17.86 |       17.54 |       17.54 |       17.03 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    57964819 |   110450460 |   118929350 |   118071992 |   126311620 |    57964824 |   110501828 |   119103044 |   118162053 |   126311405 |    57964827 |   110434967 |   118944694 |   118022447 |   126326943 |           0
    num misses                       |         223 |          34 |          34 |          34 |          31 |         225 |          34 |          34 |          34 |          31 |         228 |          34 |          34 |          34 |          31 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   169706145 |   227142029 |   250520345 |   246125142 |   269323751 |   169706156 |   227244813 |   250867796 |   246305272 |   269323568 |   169706175 |   227111569 |   250551258 |   246026530 |   269354478 |           0
    num misses                       |      101035 |       79869 |       78552 |       82381 |      108756 |      105153 |       78632 |       81743 |       80149 |       83935 |      105322 |       79506 |       80249 |       81924 |       79850 |           0
