                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    num cache misses                 |      643527 |     1575162 |     1723322 |     1657696 |     1820445 |      644183 |     1583127 |     1725037 |     1666845 |     1821369 |      643783 |     1576818 |     1724399 |     1658964 |     1821629 |           0
    miss rate                        |       0.38% |       0.69% |       0.69% |       0.67% |       0.68% |       0.38% |       0.70% |       0.69% |       0.68% |       0.68% |       0.38% |       0.69% |       0.68% |       0.68% |       0.66% |        inf%
    mpki                             |        1.65 |        2.01 |        2.04 |        1.97 |        2.03 |        1.65 |        2.02 |        2.04 |        2.00 |        2.04 |        1.65 |        2.00 |        2.03 |        2.00 |        2.01 |         inf
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5177979 |     1846457 |     2017212 |     1941761 |     2128558 |     5178485 |     1863010 |     2019600 |     1958408 |     2129320 |     5179018 |     1850398 |     2019784 |     1943806 |     2131249 |           0
    num cache misses                 |      528174 |     1091213 |     1178733 |     1140564 |     1234810 |      528460 |     1101864 |     1180543 |     1150810 |     1234299 |      527598 |     1093381 |     1180046 |     1140981 |     1237009 |           0
    miss rate                        |      10.20% |      59.10% |      58.43% |      58.74% |      58.01% |      10.20% |      59.14% |      58.45% |      58.76% |      57.97% |      10.19% |      59.09% |      58.42% |      58.70% |      58.04% |        inf%
    mpki                             |        1.35 |        1.39 |        1.40 |        1.36 |        1.38 |        1.35 |        1.41 |        1.40 |        1.38 |        1.38 |        1.35 |        1.39 |        1.39 |        1.38 |        1.37 |         inf
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     1366176 |     1348119 |     1275434 |     1317718 |     1286164 |     1331979 |     1380587 |     1301972 |     1343658 |     1377639 |     1345797 |     1333249 |     1352806 |     1284106 |     1364816 |     1403695
  average dram access latency (ns)   |       24.46 |       24.47 |       24.53 |       24.45 |       24.52 |       24.45 |       24.49 |       24.47 |       24.56 |       24.49 |       24.43 |       24.48 |       24.46 |       24.50 |       24.60 |       24.52
  average dram queueing delay        |        1.03 |        1.04 |        1.10 |        1.03 |        1.09 |        1.02 |        1.06 |        1.04 |        1.13 |        1.06 |        1.00 |        1.05 |        1.03 |        1.07 |        1.17 |        1.09
  average dram bandwidth utilization |       1.00% |       1.00% |       0.00% |       1.00% |       0.00% |       1.00% |       1.00% |       1.00% |       1.00% |       1.00% |       1.00% |       1.00% |       1.00% |       0.00% |       1.00% |       1.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |      281766 |      811823 |      849222 |      850441 |      842097 |      282483 |      801755 |      846297 |      784535 |      843377 |      281636 |      823308 |      853416 |      836307 |      840678 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |        2183 |       13993 |       31325 |        1763 |       71524 |        2174 |       33000 |       35297 |       76511 |       69522 |        2105 |        4160 |       28016 |       17125 |       74316 |           0
