                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  209145100 |  224903247 |  224943067 |  224930381 |  209145100 |  224903247 |  224943067 |  224930381 |  209145111 |  224903247 |  224940577 |  224932871 |  209145111 |  224903247 |  224943067 |  224930381
  Cycles                             |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200 |  500201200
  IPC                                |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45
  Time (ns)                          |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300 |  125050300
  Idle time (ns)                     |   42775018 |   82297775 |   83242770 |   83076550 |   42856371 |   82359547 |   83208132 |   83164152 |   42713026 |   82486430 |   82993841 |   83155936 |   42924092 |   82463357 |   83343026 |   83139872
  Idle time (%)                      |      34.2% |      65.8% |      66.6% |      66.4% |      34.3% |      65.9% |      66.5% |      66.5% |      34.2% |      66.0% |      66.4% |      66.5% |      34.3% |      65.9% |      66.6% |      66.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   32437144 |   13031339 |   13127247 |   13094401 |   32448302 |   13032339 |   13127855 |   13095500 |   32401435 |   13032338 |   13091715 |   13095771 |   32477913 |   13032338 |   13128246 |   13095499
  num incorrect                      |    1879091 |     621631 |     525952 |     558475 |    1867933 |     620631 |     525344 |     557376 |    1914804 |     620632 |     561178 |     557411 |    1838326 |     620632 |     524953 |     557377
  misprediction rate                 |      5.48% |      4.55% |      3.85% |      4.09% |      5.44% |      4.55% |      3.85% |      4.08% |      5.58% |      4.55% |      4.11% |      4.08% |      5.36% |      4.55% |      3.84% |      4.08%
  mpki                               |       8.98 |       2.76 |       2.34 |       2.48 |       8.93 |       2.76 |       2.34 |       2.48 |       9.16 |       2.76 |       2.49 |       2.48 |       8.79 |       2.76 |       2.33 |       2.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   30025113 |   31711362 |   31723317 |   31711591 |   30025113 |   31711362 |   31723317 |   31711591 |   30025113 |   31711362 |   31723098 |   31711810 |   30025113 |   31711362 |   31723317 |   31711591
    num misses                       |        134 |         26 |         26 |         26 |        310 |         26 |         26 |         26 |        135 |         26 |         26 |         26 |        309 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   73201599 |   76879803 |   76888322 |   76884674 |   73234351 |   76879803 |   76888322 |   76884674 |   73201608 |   76879803 |   76887317 |   76885679 |   73201603 |   76879803 |   76888322 |   76884674
