                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |    3908862 |    3643287 |    3489412 |    3659334 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1839895 |    1642586 |    1576836 |    1656900 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     47.07% |     45.09% |     45.19% |     45.28% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      21.39 |      26.45 |      26.57 |      26.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     611444 |     632219 |     650557 |     670072 |     699342 |     740152 |     746314 |     763254 |     764725 |     771355 |     786195 |     801113 |     814679 |     828818 |     841244 |     854363
  average dram access latency (ns)   |      33.91 |      33.69 |      33.80 |      33.54 |      33.69 |      34.70 |      33.97 |      33.59 |      33.99 |      33.04 |      33.36 |      32.83 |      33.31 |      32.89 |      33.05 |      32.46
  average dram queueing delay        |      10.48 |      10.26 |      10.37 |      10.11 |      10.27 |      11.27 |      10.54 |      10.16 |      10.56 |       9.62 |       9.93 |       9.40 |       9.88 |       9.46 |       9.62 |       9.03
  average dram bandwidth utilization |     15.00% |     16.00% |     16.00% |     17.00% |     17.00% |     18.00% |     19.00% |     19.00% |     19.00% |     19.00% |     20.00% |     20.00% |     20.00% |     21.00% |     21.00% |     21.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1729214 |    1559727 |    1494649 |    1565335 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      61293 |      71727 |      72016 |      80689 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
