                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |      33225 |     253407 |     254303 |     251526 |      33162 |     254720 |     255027 |     252666 |      32809 |     254717 |     254922 |     252770 |      32701 |     254099 |     253296 |     252563
    miss rate                        |      0.05% |      0.33% |      0.33% |      0.33% |      0.05% |      0.33% |      0.33% |      0.33% |      0.04% |      0.33% |      0.33% |      0.33% |      0.04% |      0.33% |      0.33% |      0.33%
    mpki                             |       0.16 |       1.13 |       1.13 |       1.12 |       0.16 |       1.13 |       1.13 |       1.12 |       0.16 |       1.13 |       1.13 |       1.12 |       0.16 |       1.13 |       1.13 |       1.12
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15436946 |    1899370 |    1899798 |    1897852 |   15436819 |    1902808 |    1902336 |    1898728 |   15436437 |    1902805 |    1902150 |    1898912 |   15436346 |    1899753 |    1899383 |    1898612
    num cache misses                 |      35469 |     258931 |     259052 |     257779 |      35424 |     262894 |     262112 |     259005 |      35052 |     262891 |     261959 |     259157 |      34815 |     259464 |     258739 |     258389
    miss rate                        |      0.23% |     13.63% |     13.64% |     13.58% |      0.23% |     13.82% |     13.78% |     13.64% |      0.23% |     13.82% |     13.77% |     13.65% |      0.23% |     13.66% |     13.62% |     13.61%
    mpki                             |       0.17 |       1.15 |       1.15 |       1.15 |       0.17 |       1.17 |       1.17 |       1.15 |       0.17 |       1.17 |       1.16 |       1.15 |       0.17 |       1.15 |       1.15 |       1.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     231569 |     231745 |     235745 |     232943 |     236066 |     234045 |     230222 |     233537 |     230877 |     239927 |     235699 |     236095 |     228008 |     234346 |     232722 |     230787
  average dram access latency (ns)   |      34.15 |      34.24 |      33.93 |      33.54 |      33.73 |      33.56 |      33.75 |      33.52 |      33.69 |      33.66 |      33.59 |      33.53 |      33.84 |      34.05 |      34.17 |      33.97
  average dram queueing delay        |      10.72 |      10.81 |      10.50 |      10.11 |      10.30 |      10.13 |      10.32 |      10.09 |      10.26 |      10.23 |      10.16 |      10.10 |      10.41 |      10.62 |      10.74 |      10.54
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      15579 |     216150 |     216572 |     214233 |      15503 |     218063 |     217862 |     215589 |      15294 |     218050 |     217256 |     216238 |      14933 |     216932 |     215665 |     215216
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        337 |        311 |        212 |        591 |        323 |        308 |        242 |        776 |        331 |        321 |        765 |        210 |        405 |        331 |        214 |        511
