                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |     119584 |     112331 |     110857 |     111392 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      56754 |      52023 |      51389 |      51800 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     47.46% |     46.31% |     46.36% |     46.50% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       4.75 |       4.45 |       4.41 |       4.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      20976 |      21330 |      21282 |      20803 |      21243 |      20671 |      21155 |      21238 |      21046 |      21257 |      21581 |      21316 |      20886 |      21079 |      21173 |      21456
  average dram access latency (ns)   |      26.38 |      26.76 |      26.64 |      26.52 |      26.44 |      26.21 |      26.39 |      26.34 |      26.25 |      26.54 |      26.63 |      26.69 |      26.25 |      26.16 |      26.39 |      26.60
  average dram queueing delay        |       2.95 |       3.33 |       3.21 |       3.09 |       3.01 |       2.78 |       2.96 |       2.91 |       2.82 |       3.12 |       3.20 |       3.27 |       2.82 |       2.73 |       2.96 |       3.17
  average dram bandwidth utilization |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00% |      2.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      22787 |      19672 |      19662 |      19746 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        637 |       1133 |        541 |        860 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
